,data1
45,Aug 8 03:32:45seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=graysharbor-raymond-ctc Test=icmp-test Loss%=0.000000 Min-RTT=6.411 MaxRTT=92.114 Avg-RTT=49.263 Jitter=85.70
46,Aug 8 03:32:45spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=benge-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.962 MaxRTT=18.554 Avg-RTT=9.555 Jitter=13.592
47,Aug 8 03:32:46seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
48,Aug 8 03:32:46seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
49,Aug 8 03:32:47seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=peninsula-porttownsend-ctc Test=icmp-test Loss%=0.000000 Min-RTT=3.697 MaxRTT=98.815 Avg-RTT=36.275 Jitter=95
50,Aug 8 03:32:47spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=lacrosse-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.8 MaxRTT=7.347 Avg-RTT=5.863 Jitter=2.547
51,Aug 8 03:32:48pdxcore1/68.179.203.69 cscript.crypto: RPM_TEST_RESULTS: Owner=southbend-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.612 MaxRTT=8.163 Avg-RTT=6.504 Jitter=2.551
52,Aug 8 03:32:48seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=whatcom-ctc Test=icmp-test Loss%=0.000000 Min-RTT=6.971 MaxRTT=122.183 Avg-RTT=64.577 Jitter=115.212
53,Aug 8 03:32:48seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=castlerock-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.403 MaxRTT=122.151 Avg-RTT=65.277 Jitter=113.748
54,Aug 8 03:32:48seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=skagitvalley-oakharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.35 MaxRTT=11.587 Avg-RTT=6.831 Jitter=7.23
55,Aug 8 03:32:48seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wshm-other Test=icmp-test Loss%=0.000000 Min-RTT=4.283 MaxRTT=11.5 Avg-RTT=6.764 Jitter=7.217
56,Aug 8 03:32:49spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=lamont-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.86 MaxRTT=15.982 Avg-RTT=9.157 Jitter=11.122
57,Aug 8 03:32:49seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=shawisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.853 MaxRTT=17.181 Avg-RTT=9.042999999999999 Jitter=12.
58,Aug 8 03:32:49seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=riverview-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.951 MaxRTT=15.947 Avg-RTT=14.034 Jitter=4.996
59,Aug 8 03:32:50seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
60,Aug 8 03:32:50seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
61,Aug 8 03:32:50seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=ferndale-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.273 MaxRTT=9.58 Avg-RTT=8.167 Jitter=2.307
62,Aug 8 03:32:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=ferndale-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.273 MaxRTT=9.58 Avg-RTT=8.167 Jitter=2.307
63,Aug 8 03:32:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=vashonisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.022 MaxRTT=8.726000000000001 Avg-RTT=6.61 Jitter=3.7
64,Aug 8 03:32:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=olympia-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.315 MaxRTT=7.984 Avg-RTT=5.722 Jitter=3.669
65,Aug 8 03:32:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=monroe-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.968 MaxRTT=9.455 Avg-RTT=7.14 Jitter=3.487
66,Aug 8 03:32:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=graysharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.678 MaxRTT=107.374 Avg-RTT=38.998 Jitter=102.696
67,Aug 8 03:32:51spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=orient-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.233 MaxRTT=8.787000000000001 Avg-RTT=7.152 Jitter=2
68,Aug 8 03:32:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lopezisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.954 MaxRTT=107.377 Avg-RTT=39.111 Jitter=102.423
