,data1
6727,Aug 8 04:33:23seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=peell-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.138 MaxRTT=70.473 Avg-RTT=26.924 Jitter=65.335
6728,Aug 8 04:33:23seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lakewood-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.466 MaxRTT=8.047000000000001 Avg-RTT=6.352 Jitter=2.581
6729,Aug 8 04:33:23seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=willapavalley-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.452 MaxRTT=8.036 Avg-RTT=6.456 Jitter=2.584
6730,Aug 8 04:33:23seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-everett-bacc Test=icmp-test Loss%=0.000000 Min-RTT=4.8 MaxRTT=10.843 Avg-RTT=7.204 Jitter=6.043
6731,Aug 8 04:33:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6732,Aug 8 04:33:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6733,Aug 8 04:33:29seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6734,Aug 8 04:33:29seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6735,Aug 8 04:33:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=edmonds-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.894 MaxRTT=6.863 Avg-RTT=4.24 Jitter=3.969
6736,Aug 8 04:33:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6737,Aug 8 04:33:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6738,Aug 8 04:33:35spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=asotincounty-lib Test=icmp-test Loss%=0.000000 Min-RTT=5.259 MaxRTT=10.831 Avg-RTT=7.159 Jitter=5.572
6739,Aug 8 04:33:36spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=riverside-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.169 MaxRTT=7.062 Avg-RTT=4.473 Jitter=3.893
6740,Aug 8 04:33:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6741,Aug 8 04:33:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6742,Aug 8 04:33:41seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6743,Aug 8 04:33:41seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6744,Aug 8 04:33:42seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-snohomish-bacc Test=icmp-test Loss%=0.000000 Min-RTT=3.126 MaxRTT=9.247999999999999 Avg-RTT=5.233 Jitter=
6745,Aug 8 04:33:43spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=oakesdale-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.488 MaxRTT=6.078 Avg-RTT=3.699 Jitter=3.59
6746,Aug 8 04:33:44seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lakestevens-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.113 MaxRTT=41.941 Avg-RTT=16.15 Jitter=38.828
6747,Aug 8 04:33:45seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6748,Aug 8 04:33:45seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6749,Aug 8 04:33:46seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=chehalis-k12 Test=icmp-test Loss%=0.000000 Min-RTT=74.14 MaxRTT=74.14 Avg-RTT=74.14 Jitter=0
6750,Aug 8 04:33:49pdxcore1/68.179.203.69 cscript.crypto: RPM_TEST_RESULTS: Owner=woodland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.22 MaxRTT=8.978 Avg-RTT=6.508 Jitter=3.758
6751,Aug 8 04:33:49seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6752,Aug 8 04:33:50seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6753,Aug 8 04:33:50seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6754,Aug 8 04:33:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=shelton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.609 MaxRTT=31.134 Avg-RTT=17.872 Jitter=26.525
6755,Aug 8 04:33:52seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=tulalip-nwic Test=icmp-test Loss%=0.000000 Min-RTT=3.694 MaxRTT=71.104 Avg-RTT=26.324 Jitter=67.41
6756,Aug 8 04:33:52seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=tumwater-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.422 MaxRTT=129.218 Avg-RTT=66.82 Jitter=124.796
6757,Aug 8 04:33:53seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6758,Aug 8 04:33:53seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6759,Aug 8 04:33:56spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=methowvalley-k12 Test=icmp-test Loss%=0.000000 Min-RTT=9.432 MaxRTT=24.997 Avg-RTT=14.789 Jitter=15.56
6760,Aug 8 04:33:57spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=republic-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.294 MaxRTT=10.155 Avg-RTT=6.938 Jitter=4.861
6761,Aug 8 04:33:57seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6762,Aug 8 04:33:57seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6763,Aug 8 04:33:58spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=wsu-riverpoint-bacc Test=icmp-test Loss%=0.000000 Min-RTT=2.156 MaxRTT=7.044 Avg-RTT=4.392 Jitter=4.88
6764,Aug 8 04:34:01spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=liberty-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.385 MaxRTT=6.411 Avg-RTT=4.432 Jitter=3.026
6765,Aug 8 04:34:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6766,Aug 8 04:34:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6767,Aug 8 04:34:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=portgamble-nwic Test=icmp-test Loss%=0.000000 Min-RTT=5.937 MaxRTT=126.556 Avg-RTT=66.247 Jitter=120.619
6768,Aug 8 04:34:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=sbctc-sdc-1-ctc Test=icmp-test Loss%=0.000000 Min-RTT=47.99 MaxRTT=47.99 Avg-RTT=47.99 Jitter=0
6769,Aug 8 04:34:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=granitefalls-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.938 MaxRTT=62.755 Avg-RTT=33.347 Jitter=58.817
6770,Aug 8 04:34:06seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6771,Aug 8 04:34:06seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6772,Aug 8 04:34:06seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=shelton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.069 MaxRTT=31.134 Avg-RTT=13.271 Jitter=27.065
6773,Aug 8 04:34:06seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsipc-2-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.301 MaxRTT=13.566 Avg-RTT=6.104 Jitter=11.265
6774,Aug 8 04:34:07seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=tumwater-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.422 MaxRTT=129.218 Avg-RTT=46.698 Jitter=124.796
6775,Aug 8 04:34:10seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6776,Aug 8 04:34:10seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6777,Aug 8 04:34:13seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=Raymond-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.098 MaxRTT=9.115 Avg-RTT=6.578 Jitter=4.017
6778,Aug 8 04:34:14seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6779,Aug 8 04:34:14seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6780,Aug 8 04:34:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=chehalis-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.114 MaxRTT=74.14 Avg-RTT=29.68 Jitter=69.026
6781,Aug 8 04:34:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=dieringer-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.093 MaxRTT=71.188 Avg-RTT=38.141 Jitter=66.095
6782,Aug 8 04:34:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=nisqually-nwic Test=icmp-test Loss%=0.000000 Min-RTT=4.76 MaxRTT=71.121 Avg-RTT=37.941 Jitter=66.361
6783,Aug 8 04:34:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lopezisland-lib Test=icmp-test Loss%=0.000000 Min-RTT=4.832 MaxRTT=71.156 Avg-RTT=37.994 Jitter=66.324
6784,Aug 8 04:34:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mukilteo-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.812 MaxRTT=71.184 Avg-RTT=37.998 Jitter=66.372
6785,Aug 8 04:34:17seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=portgamble-nwic Test=icmp-test Loss%=0.000000 Min-RTT=4.187 MaxRTT=126.556 Avg-RTT=45.56 Jitter=122.369
6786,Aug 8 04:34:18seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=granitefalls-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.267 MaxRTT=62.755 Avg-RTT=23.32 Jitter=59.488
6787,Aug 8 04:34:18seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6788,Aug 8 04:34:18seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cashmere-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.298 MaxRTT=71.73 Avg-RTT=39.014 Jitter=65.432
6789,Aug 8 04:34:19seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6790,Aug 8 04:34:19seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=burlingtonedison-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.354 MaxRTT=71.785 Avg-RTT=39.07 Jitter=65.431
6791,Aug 8 04:34:19seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=darrington-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.264 MaxRTT=71.733 Avg-RTT=38.999 Jitter=65.469
6792,Aug 8 04:34:19seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cashmere-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.298 MaxRTT=71.73 Avg-RTT=39.014 Jitter=65.432
6793,Aug 8 04:34:19spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=benge-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.968 MaxRTT=7.203 Avg-RTT=5.763 Jitter=2.235
6794,Aug 8 04:34:20seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=everett-ctc Test=icmp-test Loss%=0.000000 Min-RTT=5.171 MaxRTT=14.759 Avg-RTT=9.493 Jitter=9.587999999999999
6795,Aug 8 04:34:21seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=arlington-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.24 MaxRTT=13.123 Avg-RTT=7.354 Jitter=9.882999999999999
6796,Aug 8 04:34:22seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6797,Aug 8 04:34:22seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6798,Aug 8 04:34:23spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=lamont-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.188 MaxRTT=9.814 Avg-RTT=8.074 Jitter=3.626
6799,Aug 8 04:34:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=northbeach-k12 Test=icmp-test Loss%=0.000000 Min-RTT=11.429 MaxRTT=50.168 Avg-RTT=30.799 Jitter=38.739
6800,Aug 8 04:34:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=washington-lib Test=icmp-test Loss%=0.000000 Min-RTT=6.843 MaxRTT=50.238 Avg-RTT=28.541 Jitter=43.395
6801,Aug 8 04:34:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=bellingham-ctc Test=icmp-test Loss%=0.000000 Min-RTT=7.708 MaxRTT=50.413 Avg-RTT=29.061 Jitter=42.705
6802,Aug 8 04:34:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-mountvernon-bacc Test=icmp-test Loss%=0.000000 Min-RTT=6.857 MaxRTT=50.239 Avg-RTT=28.548 Jitter=43.382
6803,Aug 8 04:34:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=uw-fhl-bacc Test=icmp-test Loss%=0.000000 Min-RTT=11.409 MaxRTT=50.233 Avg-RTT=30.821 Jitter=38.824
6804,Aug 8 04:34:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=esd189-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.885 MaxRTT=50.27 Avg-RTT=28.578 Jitter=43.385
6805,Aug 8 04:34:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=esd112-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.274 MaxRTT=50.294 Avg-RTT=28.784 Jitter=43.02
6806,Aug 8 04:34:26pdxcore1/68.179.203.69 cscript.crypto: RPM_TEST_RESULTS: Owner=aberdeen-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.16 MaxRTT=19.398 Avg-RTT=10.114 Jitter=14.238
6807,Aug 8 04:34:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=skagitvalley-oakharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=5.29 MaxRTT=12.284 Avg-RTT=9.794 Jitter=6.99
6808,Aug 8 04:34:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wshm-other Test=icmp-test Loss%=0.000000 Min-RTT=5.234 MaxRTT=12.272 Avg-RTT=9.753 Jitter=7.038
6809,Aug 8 04:34:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=shawisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.812 MaxRTT=14.287 Avg-RTT=8.346 Jitter=9.475
6810,Aug 8 04:34:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6811,Aug 8 04:34:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6812,Aug 8 04:34:27spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=steptoe-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.905 MaxRTT=7.748 Avg-RTT=5.901 Jitter=2.843
6813,Aug 8 04:34:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cascade-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.825 MaxRTT=29.922 Avg-RTT=18.874 Jitter=22.097
6814,Aug 8 04:34:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wapato-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.086 MaxRTT=28.671 Avg-RTT=17.879 Jitter=21.585
6815,Aug 8 04:34:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=nachesvalley-k12 Test=icmp-test Loss%=0.000000 Min-RTT=9.058 MaxRTT=30.007 Avg-RTT=19.533 Jitter=20.949
6816,Aug 8 04:34:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mountpleasant-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.595000000000001 MaxRTT=97.524 Avg-RTT=53.06 Jitter=
6817,Aug 8 04:34:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=vashonisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.901 MaxRTT=23.392 Avg-RTT=11.076 Jitter=18.491
6818,Aug 8 04:34:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lopezisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.693 MaxRTT=23.424 Avg-RTT=10.94 Jitter=18.731
6819,Aug 8 04:34:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=graysharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.602 MaxRTT=23.49 Avg-RTT=10.91 Jitter=18.888
6820,Aug 8 04:34:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=olympia-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.251 MaxRTT=23.388 Avg-RTT=10.648 Jitter=19.137
6821,Aug 8 04:34:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6822,Aug 8 04:34:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6823,Aug 8 04:34:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lopezisland-lib Test=icmp-test Loss%=0.000000 Min-RTT=4.832 MaxRTT=71.156 Avg-RTT=29.467 Jitter=66.324
6824,Aug 8 04:34:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=nisqually-nwic Test=icmp-test Loss%=0.000000 Min-RTT=4.76 MaxRTT=71.121 Avg-RTT=29.415 Jitter=66.361
6825,Aug 8 04:34:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mukilteo-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.812 MaxRTT=71.184 Avg-RTT=29.464 Jitter=66.372
6826,Aug 8 04:34:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=dieringer-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.093 MaxRTT=71.188 Avg-RTT=29.651 Jitter=66.095
6827,Aug 8 04:34:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=easton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.373 MaxRTT=13.69 Avg-RTT=8.404999999999999 Jitter=8.317
6828,Aug 8 04:34:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=sbctc-sdc-1-ctc Test=icmp-test Loss%=0.000000 Min-RTT=3.85 MaxRTT=47.99 Avg-RTT=19.381 Jitter=44.14
6829,Aug 8 04:34:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cascadia-ctc Test=icmp-test Loss%=0.000000 Min-RTT=5.176 MaxRTT=11.955 Avg-RTT=7.831 Jitter=6.779
6830,Aug 8 04:34:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=skagitvalley-ctc Test=icmp-test Loss%=0.000000 Min-RTT=6.237 MaxRTT=19.072 Avg-RTT=12.549 Jitter=12.835
6831,Aug 8 04:34:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=chiefkitsap-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.865 MaxRTT=14.345 Avg-RTT=6.724 Jitter=11.48
6832,Aug 8 04:34:33spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=spokane-republic-ctc Test=icmp-test Loss%=0.000000 Min-RTT=6.099 MaxRTT=10.086 Avg-RTT=8.3699999999999
6833,Aug 8 04:34:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=darrington-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.026 MaxRTT=71.733 Avg-RTT=28.008 Jitter=65.707
6834,Aug 8 04:34:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cashmere-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.028 MaxRTT=71.73 Avg-RTT=28.019 Jitter=65.702
6835,Aug 8 04:34:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=burlingtonedison-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.085 MaxRTT=71.785 Avg-RTT=28.075 Jitter=65.7
6836,Aug 8 04:34:34seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=centralia-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.504 MaxRTT=12.137 Avg-RTT=7.082 Jitter=7.633
6837,Aug 8 04:34:34seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6838,Aug 8 04:34:34seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6839,Aug 8 04:34:35seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=whitepass-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.569 MaxRTT=7.805 Avg-RTT=6.334 Jitter=2.236
6840,Aug 8 04:34:35seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=centralkitsap-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.632 MaxRTT=7.849 Avg-RTT=6.381 Jitter=2.217
6841,Aug 8 04:34:35seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=marymknight-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.414 MaxRTT=14.274 Avg-RTT=9.217000000000001 Jitter=7.
6842,Aug 8 04:34:36seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=bainbridgeisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.132 MaxRTT=13.258 Avg-RTT=6.527 Jitter=10.126
6843,Aug 8 04:34:36seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=index-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.62 MaxRTT=13.207 Avg-RTT=6.858 Jitter=9.587
